IDPRODUCTMASTEREXTENSION,IDPRODUCTMASTER,TRANSACTIONTYPE,SETTLEMENTTYPE
1,13,SpotFwd,Physical
2,13,Swap,Cash
3,13,Option,Cash
4,13,Option,Physical
5,13,LoanLease,Cash
6,13,LoanLease,Physical
7,13,Exotic,
8,14,SpotFwd,Physical
9,14,Swap,Cash
10,14,Option,Cash
11,14,Option,Physical
12,14,Transport,
13,14,LoanLease,Cash
14,14,LoanLease,Physical
15,14,Exotic,
16,15,SpotFwd,Physical
17,15,Swap,Cash
18,15,Option,Cash
19,15,Option,Physical
20,15,LoanLease,Cash
21,15,LoanLease,Physical
22,15,Exotic,
23,16,SpotFwd,Physical
24,16,Swap,Cash
25,16,Option,Cash
26,16,Option,Physical
27,16,LoanLease,Cash
28,16,LoanLease,Physical
29,16,Exotic,
30,17,SpotFwd,Physical
31,17,Swap,Cash
32,17,Option,Cash
33,17,Option,Physical
34,17,LoanLease,Cash
35,17,LoanLease,Physical
36,17,Exotic,
37,18,SpotFwd,Physical
38,18,Swap,Cash
39,18,Option,Cash
40,18,Option,Physical
41,18,Transmission,
42,18,LoanLease,Cash
43,18,LoanLease,Physical
44,18,Exotic,
45,19,SpotFwd,Physical
46,19,Swap,Cash
47,19,Option,Cash
48,19,Option,Physical
49,19,LoanLease,Cash
50,19,LoanLease,Physical
51,19,Exotic,
52,20,Swap,Cash
53,20,Option,Cash
54,20,Exotic,
55,21,SpotFwd,Physical
56,21,Swap,Cash
57,21,Option,Cash
58,21,Option,Physical
59,21,LoanLease,Cash
60,21,LoanLease,Physical
61,21,Exotic,
62,22,SpotFwd,Physical
63,22,Swap,Cash
64,22,Option,Cash
65,22,Option,Physical
66,22,LoanLease,Cash
67,22,LoanLease,Physical
68,22,Exotic,
69,23,SpotFwd,Physical
70,23,Swap,Cash
71,23,Option,Cash
72,23,Option,Physical
73,23,LoanLease,Cash
74,23,LoanLease,Physical
75,23,Exotic,
76,24,SpotFwd,Physical
77,24,Swap,Cash
78,24,Option,Cash
79,24,Option,Physical
80,24,LoanLease,Cash
81,24,LoanLease,Physical
82,24,Exotic,
83,25,SpotFwd,Physical
84,25,Swap,Cash
85,25,Option,Cash
86,25,Option,Physical
87,25,LoanLease,Cash
88,25,LoanLease,Physical
89,25,Exotic,
90,26,Swap,Cash
91,26,Option,Cash
92,26,LoanLease,Cash
93,26,Exotic,
94,27,SpotFwd,Physical
95,27,Swap,Cash
96,27,Option,Cash
97,27,Option,Physical
98,27,LoanLease,Cash
99,27,LoanLease,Physical
100,27,Exotic,
101,28,SpotFwd,Physical
102,28,Swap,Cash
103,28,Option,Cash
104,28,Option,Physical
105,28,LoanLease,Cash
106,28,LoanLease,Physical
107,28,Exotic,
112,62,CDSSwaption,
113,65,CDSSwaption,
114,66,CDSSwaption,
115,67,Refobonly,
116,68,ContingentCDS,
117,68,IndexContingentCDS,
118,68,FirsttoDefaultNthtoDefault,
119,68,BespokeTranche,
126,63,CDXSwaption,
127,61,iTraxxAsiaExJapanSwaption,
128,61,iTraxxAustraliaSwaption,
129,61,iTraxxJapanSwaption,
130,61,iTraxxSovXSwaption,
131,61,iTraxxEuropeSwaption,
132,64,MCDXSwaption,
134,40,CDSonCDO,
135,11,AsiaCorporate,
136,11,AustraliaCorporate,
137,11,EmergingEuropeanCorporate,
138,11,EmergingEuropeanCorporateLPN,
139,11,EuropeanCorporate,
140,11,JapanCorporate,
141,11,LatinAmericaCorporate,
142,11,LatinAmericaCorporateBond,
143,11,LatinAmericaCorporateBondOrLoan,
144,11,NewZealandCorporate,
145,11,NorthAmericanCorporate,
146,11,SingaporeCorporate,
147,11,StandardAsiaCorporate,
148,11,StandardAustraliaCorporate,
149,11,StandardEmergingEuropeanCorporate,
150,11,StandardEmergingEuropeanCorporateLPN,
151,11,StandardJapanCorporate,
152,11,StandardLatinAmericaCorporateBond,
153,11,StandardLatinAmericaCorporateBondOrLoan,
154,11,StandardNewZealandCorporate,
155,11,StandardNorthAmericanCorporate,
156,11,StandardSingaporeCorporate,
157,11,StandardSubordinatedEuropeanInsuranceCorporate,
158,11,StandardSukukCorporate,
159,11,SubordinatedEuropeanInsuranceCorporate,
160,11,SukukCorporate,
161,11,StandardEuropeanCorporate,
162,41,FixedRecoverySwaps,
163,41,RecoveryLocks,
164,42,ELCDS,
165,42,LCDS,
166,43,USMunicipalFullFaithAndCredit,
167,43,USMunicipalGeneralFund,
168,43,USMunicipalRevenue,
169,43,StandardUSMunicipalFullFaithAndCredit,
170,43,StandardUSMunicipalGeneralFund,
171,43,StandardUSMunicipalRevenue,
172,12,AsiaSovereign,
173,12,AustraliaSovereign,
174,12,EmergingEuropeanAndMiddleEasternSovereign,
175,12,JapanSovereign,
176,12,LatinAmericaSovereign,
177,12,NewZealandSovereign,
178,12,SingaporeSovereign,
179,12,StandardAsiaSovereign,
180,12,StandardAustraliaSovereign,
181,12,StandardEmergingEuropeanAndMiddleEasternSovereign,
182,12,StandardJapanSovereign,
183,12,StandardLatinAmericaSovereign,
184,12,StandardNewZealandSovereign,
185,12,StandardSingaporeSovereign,
186,12,StandardSukukSovereign,
187,12,StandardWesternEuropeanSovereign,
188,12,SukukSovereign,
189,12,WesternEuropeanSovereign,
190,12,AsiaSovereign,
191,12,AsiaSovereign,
192,12,AsiaSovereign,
193,12,AsiaSovereign,
194,12,AsiaSovereign,
195,12,AsiaSovereign,
196,12,AsiaSovereign,
197,40,MBS,
198,40,EuropeanMBS,
199,79,SingleName,
200,79,SingleIndex,
201,79,Basket,
202,80,SingleName,
203,80,SingleIndex,
204,80,Basket,
205,81,SingleName,
206,81,SingleIndex,
207,81,Basket,
208,82,SingleName,
209,82,SingleIndex,
210,82,Basket,
211,83,SingleName,
212,83,SingleIndex,
213,83,Basket,
214,84,SingleName,
215,84,SingleIndex,
216,84,Basket,
217,85,SingleName,
218,85,SingleIndex,
219,85,Basket,
220,86,SingleName,
221,86,SingleIndex,
222,86,Basket,
223,87,SingleName,
224,87,SingleIndex,
225,87,Basket,
226,88,SingleName,
227,88,SingleIndex,
228,88,Basket,
229,89,SingleName,
230,89,SingleIndex,
231,89,Basket,
233,42,StandardLCDSBullet,
234,53,ABXHE,
235,44,CDXTrancheHY,
236,44,CDXTrancheIG,
237,44,CDXTrancheXO,
238,44,StandardCDXTrancheHY,
239,44,StandardCDXTrancheIG,
240,45,LCDXTranche,
241,45,StandardLCDXBulletTranche,
242,46,MCDXTranche,
243,47,CDXBlendedTranche,
244,47,CDXRiskyZeroTranche,
245,50,ABXTranche,
246,48,iTraxxAsiaExJapanTranche,
247,48,iTraxxAustraliaTranche,
248,48,iTraxxEuropeTranche,
249,48,iTraxxJapanTranche,
250,48,StandardiTraxxEuropeTranche,
251,49,iTraxxBlendedTranche,
252,49,iTraxxRiskyZeroTranche,
253,51,LCDX,
254,51,StandardLCDXBullet,
255,52,MCDX,
256,54,CMBX,
257,55,IOS,
259,57,PO,
270,59,TRX,
271,56,MBX,
272,94,PrimeX,
273,16,Transport,

